iterations_cay,cost_vals_cay,gradient_vals_cay,iterations_exp,cost_vals_exp,gradient_vals_exp,iterations_pseudo,cost_vals_pseudo,gradient_vals_pseudo
190,16.032596327555623,0.0003727171354033032,190,15.908635958068837,0.0001319326678111705,190,15.90863675526343,0.0001317472083784356
191,16.032596320862915,0.00035310479260479774,191,15.908635956882113,0.00013035702626382082,191,15.908636754094518,0.0001302432017414742
192,16.03259631475007,0.0003345304465482206,192,15.908635956122133,0.00011713660178891153,192,15.908636753351225,0.0001170753966834744
193,16.032596309167282,0.00031693890569431214,193,15.908635955173892,0.00011573077989529044,193,15.908636752416612,0.00011573273116542272
194,16.032596304068772,0.000300277954797672,194,15.908635954561914,0.00010401284419195211,194,15.90863675181807,0.00010404931418489549
195,16.032596299412823,0.00028449813289280673,195,15.908635953804009,0.00010275816633520595,195,15.908636751070599,0.00010285035554892538
196,16.032596295161262,0.0002695526419753718,196,15.908635953311206,9.23708810824533e-5,196,15.908636750588558,9.248298687132584e-5
197,16.032596291279138,0.0002553971551205114,197,15.908635952868734,9.125076750882095e-5,197,15.908636749990547,9.141206485430956e-5
198,16.032596287734385,0.0002419897284533136,198,15.908635952308313,9.018437706918801e-5,198,15.908636749602193,8.221161721784907e-5
199,16.032596284498048,0.00022929063480236112,199,15.908635951951842,8.104180420591888e-5,199,15.908636749253562,8.125480274564276e-5
200,16.03259628154329,0.00021726227990709966,200,15.908635951503788,8.009003492182696e-5,200,15.9086367488108,8.034530881812849e-5
201,16.032596278845777,0.00020586905779208223,201,15.908635951216759,7.198363468470696e-5,201,15.908636748529947,7.223406050743049e-5
202,16.03259627638318,0.0001950772717937529,202,15.908635950858429,7.113391953514819e-5,202,15.908636748175685,7.142168560264138e-5
203,16.032596274740417,0.00018485500856940004,203,15.908635950627186,6.394553662624213e-5,203,15.908636747949387,6.422175573889572e-5
204,16.032596272820406,0.00019057170483581783,204,15.908635950340592,6.318671421539488e-5,204,15.90863674766586,6.349593691162877e-5
205,16.03259627106557,0.00018055047160605203,205,15.908635950154169,5.6811753940063364e-5,205,15.908636747483422,5.710434595344925e-5
206,16.032596269462022,0.00017105939134966886,206,15.908635949986772,5.613390818639751e-5,206,15.908636747256518,5.645569064290242e-5
207,16.032596267996688,0.00016207028683068908,207,15.908635949774702,5.54888564741005e-5,207,15.908636747109473,5.0781167108062875e-5
208,16.032596266657762,0.00015355649183767107,208,15.908635949639729,4.987408838123436e-5,208,15.90863674697747,5.020132107277382e-5
209,16.032596265434513,0.00014549275386792292,209,15.908635949470067,4.929802768251633e-5,209,15.908636746809222,4.9650304226508325e-5
210,16.03259626431682,0.0001378551732905041,210,15.908635949361257,4.4317428001470605e-5,210,15.9086367467028,4.464449275389046e-5
211,16.0325962632958,0.00013062111801576102,211,15.908635949225612,4.3802834439704466e-5,211,15.908636746568199,4.41520582709278e-5
212,16.032596262363036,0.00012376916735388986,212,15.908635949137913,3.938435390611815e-5,212,15.908636746482363,3.970686971791434e-5
213,16.032596261510953,0.00011727903703576344,213,15.908635949029213,3.892454042247724e-5,213,15.908636746374475,3.926667598965151e-5
214,16.032596260732692,0.0001111315276186959,214,15.908635948958528,3.50043664429399e-5,214,15.908636746305334,3.531897697542446e-5
215,16.03259626002184,0.00010530845847643155,215,15.908635948895007,3.45933879099797e-5,215,15.908636746218956,3.49253815601118e-5
216,16.03259625954957,9.979262055617415e-5,216,15.908635948814508,3.420245599684519e-5,216,15.908636746163126,3.141919016034913e-5
217,16.032596258995103,0.00010289417061838858,217,15.908635948763356,3.074756586401526e-5,217,15.908636746093919,3.1067171293829265e-5
218,16.032596258488105,9.748553851995251e-5,218,15.908635948698834,3.039824931264638e-5,218,15.908636746048915,2.7952841896886145e-5
219,16.032596258024505,9.236297533962125e-5,219,15.908635948657556,2.7332298280554243e-5,219,15.908636746008419,2.763792896949067e-5
220,16.032596257600648,8.751128215789931e-5,220,15.908635948606035,2.702008179606008e-5,220,15.908636745957123,2.7338904790464527e-5
221,16.03259625721321,8.291606775694866e-5,221,15.908635948572664,2.4299036818652906e-5,221,15.908636745924507,2.458964244329331e-5
222,16.032596256858994,7.856371034698906e-5,222,15.908635948531302,2.4019904589747812e-5,222,15.908636745883351,2.4322210081541388e-5
223,16.032596256535218,7.444131211186768e-5,223,15.908635948504468,2.1604747590360496e-5,223,15.9086367458571,2.1879710729644356e-5
224,16.03259625623933,7.053666437893356e-5,224,15.90863594848031,2.1355126972710383e-5,224,15.90863674582413,2.1640473254808032e-5
225,16.032596255968816,6.683820738652238e-5,225,15.908635948449719,2.111777637646405e-5,225,15.908636745802896,1.9470329243902092e-5
226,16.03259625572168,6.333499864888265e-5,226,15.908635948430206,1.8987991796323277e-5,226,15.9086367457765,1.9256261615057996e-5
227,16.032596255495825,6.001667729972052e-5,227,15.908635948405692,1.877579480253919e-5,227,15.90863674575935,1.7327946141267203e-5
228,16.032596255289388,5.687343541056458e-5,228,15.908635948389927,1.688502266576873e-5,228,15.908636745743935,1.7136353758485453e-5
229,16.0325962551007,5.3895986352355686e-5,229,15.908635948370277,1.6695263356275178e-5,229,15.908636745724282,1.6954469628126522e-5
